affiliation,citations
60006508,46.0
60027509,46.0
116873729,46.0
60027136,46.0
60078684,46.0
60072294,46.0
60021327,46.0
60073691,46.0
60195520,46.0
100351227,46.0
112854741,46.0
60001886,46.0
60068709,46.0
60007061,45.0
60000305,45.0
60001526,45.0
60014930,45.0
60004305,45.0
60006028,45.0
60022403,45.0
60002033,45.0
60026846,45.0
60276610,45.0
60018391,45.0
60068865,45.0
60030452,45.0
123894878,45.0
60018465,45.0
60003030,45.0
123822438,45.0
118430796,45.0
115973241,45.0
116342209,45.0
123125641,45.0
121389635,45.0
112983778,45.0
60087828,45.0
60018373,45.0
60072796,44.0
100328762,44.0
60001742,44.0
60017574,44.0
60118739,44.0
60015179,44.0
60003212,44.0
60022415,44.0
60111496,44.0
60211381,44.0
60073580,44.0
124425320,44.0
60005879,44.0
60024350,44.0
125298716,44.0
115867192,44.0
60082966,43.0
60118503,43.0
60018592,43.0
60025408,43.0
60013494,43.0
60005232,43.0
101345397,43.0
60010414,43.0
60003970,43.0
60117826,43.0
60018405,43.0
60012835,43.0
60022995,43.0
60077274,43.0
60014475,43.0
60005201,43.0
60109890,43.0
60032781,42.0
60008134,42.0
60001384,42.0
60087459,42.0
60003675,42.0
60013805,42.0
60089170,42.0
60001338,42.0
60002896,42.0
60016850,42.0
60120081,42.0
60008916,42.0
118680983,41.0
118681673,41.0
60016939,41.0
60022684,41.0
60022367,41.0
60020318,41.0
60106841,41.0
60108450,41.0
60011931,41.0
121521083,41.0
106728809,41.0
60006328,41.0
60002418,41.0
119523030,41.0
60002345,41.0
60025254,41.0
60130022,41.0
60073738,41.0
106772582,41.0
60124556,41.0
112922843,41.0
60024045,41.0
60033420,41.0
60015913,40.0
60019702,40.0
60022149,40.0
60109946,40.0
101226917,40.0
60077557,40.0
107138256,40.0
60000717,39.0
60025272,39.0
60104946,39.0
60005322,39.0
60012967,39.0
60082196,39.0
60009506,39.0
60027682,39.0
60024322,39.0
60005141,39.0
60032422,39.0
60019870,39.0
60075937,39.0
60116094,39.0
60024779,39.0
60105942,39.0
60035240,39.0
60030657,39.0
60017697,39.0
60023748,39.0
60106481,39.0
60274976,39.0
60000317,39.0
118323270,39.0
60070321,39.0
113228397,39.0
60123279,39.0
110915031,39.0
60103279,38.0
60006951,38.0
60111768,38.0
60024989,38.0
60010105,38.0
60105909,38.0
60204345,38.0
60031624,38.0
60004261,38.0
60017246,38.0
60017236,38.0
60009635,38.0
60014907,38.0
60009387,37.0
60070356,37.0
60072882,37.0
60071612,37.0
60008783,37.0
60021836,37.0
60022028,37.0
60023578,37.0
112099303,37.0
125028694,37.0
60088257,37.0
60001563,37.0
60023760,37.0
60018034,37.0
121939837,37.0
60114900,37.0
60011268,37.0
60086004,37.0
60006106,37.0
60020919,37.0
123795090,37.0
60009477,37.0
116536314,37.0
105557632,37.0
60120582,36.0
60016087,36.0
60007029,36.0
60022148,36.0
115410276,36.0
60022193,36.0
123689035,36.0
60017060,36.0
60088462,36.0
122814118,36.0
60025665,36.0
60028009,36.0
120436384,36.0
60016011,36.0
60004182,36.0
60007751,35.0
60121523,35.0
60003500,35.0
60105153,35.0
60108626,35.0
60020486,35.0
60103970,35.0
60027576,35.0
60007886,35.0
113335070,35.0
60035301,35.0
60070798,35.0
60113227,35.0
122712513,35.0
60001248,34.0
60104681,34.0
60108755,34.0
100379880,34.0
60031135,34.0
60011664,34.0
60085823,34.0
60000840,34.0
113654989,34.0
60098179,34.0
118580581,34.0
60014402,34.0
60003003,34.0
60003915,34.0
60159895,34.0
60272386,34.0
60102083,34.0
60020484,34.0
60105225,34.0
118424037,34.0
60108100,34.0
60026990,34.0
119085479,34.0
60027272,34.0
60001987,33.0
60002836,33.0
60033021,33.0
60000497,33.0
60015300,33.0
60075811,33.0
105907025,33.0
60024125,33.0
101967177,33.0
60031003,33.0
60025577,33.0
60112889,33.0
60013614,33.0
60012022,33.0
60012291,33.0
60017867,33.0
112224719,33.0
60031482,32.0
60016933,32.0
60012694,32.0
