index,doi
22288,10.1016/j.oceaneng.2019.106728
22291,10.1016/j.oceaneng.2019.106752
22291,10.1016/j.oceaneng.2019.106752
22292,10.1016/j.oceaneng.2019.106753
22292,10.1016/j.oceaneng.2019.106753
22293,10.1016/j.oceaneng.2019.106754
22293,10.1016/j.oceaneng.2019.106754
22299,10.1016/j.oceaneng.2019.106761
22299,10.1016/j.oceaneng.2019.106761
22300,10.1016/j.oceaneng.2019.106762
22300,10.1016/j.oceaneng.2019.106762
22302,10.1016/j.oceaneng.2019.106764
22302,10.1016/j.oceaneng.2019.106764
22303,10.1016/j.oceaneng.2019.106729
22303,10.1016/j.oceaneng.2019.106729
22304,10.1016/j.oceaneng.2019.106707
22304,10.1016/j.oceaneng.2019.106707
22306,10.1016/j.oceaneng.2019.106639
22306,10.1016/j.oceaneng.2019.106639
22314,10.1016/j.oceaneng.2019.106638
22314,10.1016/j.oceaneng.2019.106638
22315,10.1016/j.oceaneng.2019.106597
22315,10.1016/j.oceaneng.2019.106597
22316,10.1016/j.oceaneng.2019.106410
22316,10.1016/j.oceaneng.2019.106410
22317,10.1016/j.oceaneng.2019.106569
22317,10.1016/j.oceaneng.2019.106569
22330,10.1016/j.oceaneng.2019.106646
22330,10.1016/j.oceaneng.2019.106646
22331,10.1016/j.oceaneng.2019.106677
22331,10.1016/j.oceaneng.2019.106677
22332,10.1016/j.oceaneng.2019.106470
22332,10.1016/j.oceaneng.2019.106470
22340,10.1016/j.oceaneng.2019.106601
22340,10.1016/j.oceaneng.2019.106601
22346,10.1016/j.oceaneng.2019.106608
22346,10.1016/j.oceaneng.2019.106608
22349,10.1016/j.oceaneng.2019.106621
22349,10.1016/j.oceaneng.2019.106621
22351,10.1016/j.oceaneng.2019.106624
22351,10.1016/j.oceaneng.2019.106624
22354,10.1016/j.oceaneng.2019.106581
22354,10.1016/j.oceaneng.2019.106581
22367,10.1016/j.oceaneng.2019.106556
22367,10.1016/j.oceaneng.2019.106556
22369,10.1016/j.oceaneng.2019.04.038
22369,10.1016/j.oceaneng.2019.04.038
22384,10.1016/j.oceaneng.2019.106572
22384,10.1016/j.oceaneng.2019.106572
22392,10.1016/j.oceaneng.2019.106445
22392,10.1016/j.oceaneng.2019.106445
22393,10.1016/j.oceaneng.2019.106486
22393,10.1016/j.oceaneng.2019.106486
22409,10.1016/j.oceaneng.2019.106527
22409,10.1016/j.oceaneng.2019.106527
22410,10.1016/j.oceaneng.2019.106514
22410,10.1016/j.oceaneng.2019.106514
22412,10.1016/j.oceaneng.2019.106502
22412,10.1016/j.oceaneng.2019.106502
22422,10.1016/j.oceaneng.2019.106491
22422,10.1016/j.oceaneng.2019.106491
22426,10.1016/j.oceaneng.2019.106557
22426,10.1016/j.oceaneng.2019.106557
22428,10.1016/j.oceaneng.2019.106488
22428,10.1016/j.oceaneng.2019.106488
22437,10.1016/j.oceaneng.2019.106390
22437,10.1016/j.oceaneng.2019.106390
22442,10.1016/j.oceaneng.2019.106421
22442,10.1016/j.oceaneng.2019.106421
22444,10.1016/j.oceaneng.2019.106425
22444,10.1016/j.oceaneng.2019.106425
22446,10.1016/j.oceaneng.2019.106428
22446,10.1016/j.oceaneng.2019.106428
22447,10.1016/j.oceaneng.2019.106429
22447,10.1016/j.oceaneng.2019.106429
22467,10.1016/j.oceaneng.2019.106494
22467,10.1016/j.oceaneng.2019.106494
22469,10.1016/j.oceaneng.2019.106272
22469,10.1016/j.oceaneng.2019.106272
22478,10.1016/j.oceaneng.2019.106328
22478,10.1016/j.oceaneng.2019.106328
22480,10.1016/j.oceaneng.2019.106336
22480,10.1016/j.oceaneng.2019.106336
22481,10.1016/j.oceaneng.2019.106337
22481,10.1016/j.oceaneng.2019.106337
22488,10.1016/j.oceaneng.2019.106280
22488,10.1016/j.oceaneng.2019.106280
22499,10.1016/j.oceaneng.2019.106370
22499,10.1016/j.oceaneng.2019.106370
22500,10.1016/j.oceaneng.2019.106371
22500,10.1016/j.oceaneng.2019.106371
22508,10.1016/j.oceaneng.2019.106391
22508,10.1016/j.oceaneng.2019.106391
22512,10.1016/j.oceaneng.2019.106373
22512,10.1016/j.oceaneng.2019.106373
22523,10.1016/j.oceaneng.2019.106393
22523,10.1016/j.oceaneng.2019.106393
22529,10.1016/j.oceaneng.2019.106364
22529,10.1016/j.oceaneng.2019.106364
22536,10.1016/j.oceaneng.2019.106236
22536,10.1016/j.oceaneng.2019.106236
22540,10.1016/j.oceaneng.2019.106249
22540,10.1016/j.oceaneng.2019.106249
22541,10.1016/j.oceaneng.2019.106250
