,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
4251,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008325,10.1016/j.jhydrol.2021.126782,2021-11-01,S0022169421008325,2-s2.0-85112775515,85112775515.0,15.0,"35299191200, 6701332707, 26532640800, 57226807250, 57226813687","60204083, 60013402, 60013402, 60010365:60204083:60204083:60204083:60204083",True
4252,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008441,10.1016/j.jhydrol.2021.126794,2021-11-01,S0022169421008441,2-s2.0-85112778723,85112778723.0,7.0,"57191418520, 23111648500, 57208240186, 57209281832, 56902261100, 57867819600",60003970:60003970:60003970:60003970:60005488:60003970,True
4255,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008532,10.1016/j.jhydrol.2021.126803,2021-11-01,S0022169421008532,2-s2.0-85113189355,85113189355.0,13.0,"57215087566, 35254804500","60010851, 60010851:60010851",True
4261,6,34,2021,https://www.sciencedirect.com/science/article/pii/S0022169421008672,10.1016/j.jhydrol.2021.126817,2021-11-01,S0022169421008672,2-s2.0-85113166430,85113166430.0,16.0,"58381587600, 12241929600, 35148005600, 57191682027",60022417:60022417:60001558:60001558,True
4271,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006302,10.1016/j.jhydrol.2021.126583,2021-10-01,S0022169421006302,2-s2.0-85109117004,85109117004.0,6.0,"57191889085, 55227362400, 55403582000, 55755368100, 6602190909","60070287:60044065, 60044065:60044065:60159392:60070287, 60070287",True
4279,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006557,10.1016/j.jhydrol.2021.126607,2021-10-01,S0022169421006557,2-s2.0-85109196110,85109196110.0,30.0,"7407576360, 57221589416, 54910633700, 57225110869, 57218123926, 55796958900",60013268:60013268:60108786:60013268:60013268:60013268,True
4287,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006405,10.1016/j.jhydrol.2021.126592,2021-10-01,S0022169421006405,2-s2.0-85109173566,85109173566.0,27.0,"57192316749, 9237930900, 11439948600, 57211707745",60029306:60029306:60028629:60029306,True
4291,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006776,10.1016/j.jhydrol.2021.126629,2021-10-01,S0022169421006776,2-s2.0-85109461741,85109461741.0,14.0,"57196492712, 6603646859, 7004721533",60003988:60003988:60003988,True
4294,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006831,10.1016/j.jhydrol.2021.126635,2021-10-01,S0022169421006831,2-s2.0-85109216579,85109216579.0,18.0,"57201465208, 6602529197",60032730:60032730,True
4304,6,35,2021,https://www.sciencedirect.com/science/article/pii/S0022169421006843,10.1016/j.jhydrol.2021.126636,2021-10-01,S0022169421006843,2-s2.0-85110245747,85110245747.0,31.0,"57226022488, 36024555900, 36127012800, 36451279000, 57226020176, 57223131226, 57226002288, 56660169800, 55499697100, 7401513851","60021182, 60021182:60021182, 60021182:60022659:60021182, 60021182:60021182, 60021182:60021182, 60021182:125561728:60021182:60021182:60021182",True
