vol_index,paper_link
17,https://www.sciencedirect.com/science/article/pii/S1463500321001426
17,https://www.sciencedirect.com/science/article/pii/S1463500321001414
17,https://www.sciencedirect.com/science/article/pii/S1463500321001402
18,https://www.sciencedirect.com/science/article/pii/S1463500321001360
18,https://www.sciencedirect.com/science/article/pii/S1463500321000998
18,https://www.sciencedirect.com/science/article/pii/S1463500321001025
18,https://www.sciencedirect.com/science/article/pii/S1463500321001001
18,https://www.sciencedirect.com/science/article/pii/S1463500321001013
18,https://www.sciencedirect.com/science/article/pii/S1463500321001293
19,https://www.sciencedirect.com/science/article/pii/S1463500321001189
19,https://www.sciencedirect.com/science/article/pii/S146350032100086X
19,https://www.sciencedirect.com/science/article/pii/S1463500321000974
19,https://www.sciencedirect.com/science/article/pii/S1463500321000950
19,https://www.sciencedirect.com/science/article/pii/S1463500321000962
19,https://www.sciencedirect.com/science/article/pii/S1463500321000986
20,https://www.sciencedirect.com/science/article/pii/S1463500321000901
20,https://www.sciencedirect.com/science/article/pii/S1463500321000718
20,https://www.sciencedirect.com/science/article/pii/S146350032100072X
20,https://www.sciencedirect.com/science/article/pii/S1463500321000834
20,https://www.sciencedirect.com/science/article/pii/S1463500321000731
20,https://www.sciencedirect.com/science/article/pii/S1463500321000858
20,https://www.sciencedirect.com/science/article/pii/S1463500321000846
21,https://www.sciencedirect.com/science/article/pii/S1463500321000779
21,https://www.sciencedirect.com/science/article/pii/S1463500321000676
21,https://www.sciencedirect.com/science/article/pii/S1463500321000688
21,https://www.sciencedirect.com/science/article/pii/S1463500321000706
21,https://www.sciencedirect.com/science/article/pii/S146350032100069X
22,https://www.sciencedirect.com/science/article/pii/S1463500321000640
22,https://www.sciencedirect.com/science/article/pii/S1463500321000445
22,https://www.sciencedirect.com/science/article/pii/S1463500321000469
22,https://www.sciencedirect.com/science/article/pii/S1463500321000536
22,https://www.sciencedirect.com/science/article/pii/S1463500321000524
22,https://www.sciencedirect.com/science/article/pii/S1463500321000603
23,https://www.sciencedirect.com/science/article/pii/S1463500321000573
23,https://www.sciencedirect.com/science/article/pii/S1463500321000330
23,https://www.sciencedirect.com/science/article/pii/S1463500321000299
23,https://www.sciencedirect.com/science/article/pii/S1463500321000421
23,https://www.sciencedirect.com/science/article/pii/S146350032100041X
23,https://www.sciencedirect.com/science/article/pii/S1463500321000433
23,https://www.sciencedirect.com/science/article/pii/S1463500321000329
23,https://www.sciencedirect.com/science/article/pii/S1463500321000457
24,https://www.sciencedirect.com/science/article/pii/S1463500321000378
24,https://www.sciencedirect.com/science/article/pii/S1463500321000184
24,https://www.sciencedirect.com/science/article/pii/S1463500321000160
24,https://www.sciencedirect.com/science/article/pii/S1463500321000172
24,https://www.sciencedirect.com/science/article/pii/S1463500321000196
24,https://www.sciencedirect.com/science/article/pii/S1463500321000305
24,https://www.sciencedirect.com/science/article/pii/S1463500321000202
24,https://www.sciencedirect.com/science/article/pii/S1463500321000317
25,https://www.sciencedirect.com/science/article/pii/S146350032100024X
25,https://www.sciencedirect.com/science/article/pii/S1463500321000019
25,https://www.sciencedirect.com/science/article/pii/S146350032030250X
25,https://www.sciencedirect.com/science/article/pii/S1463500320302511
25,https://www.sciencedirect.com/science/article/pii/S1463500320302407
25,https://www.sciencedirect.com/science/article/pii/S1463500321000093
25,https://www.sciencedirect.com/science/article/pii/S1463500321000135
25,https://www.sciencedirect.com/science/article/pii/S1463500321000111
25,https://www.sciencedirect.com/science/article/pii/S146350032100010X
25,https://www.sciencedirect.com/science/article/pii/S1463500321000123
26,https://www.sciencedirect.com/science/article/pii/S1463500321000056
26,https://www.sciencedirect.com/science/article/pii/S1463500320302390
26,https://www.sciencedirect.com/science/article/pii/S1463500320302365
26,https://www.sciencedirect.com/science/article/pii/S1463500320302377
26,https://www.sciencedirect.com/science/article/pii/S1463500320302389
26,https://www.sciencedirect.com/science/article/pii/S1463500320302419
26,https://www.sciencedirect.com/science/article/pii/S1463500320302523
27,https://www.sciencedirect.com/science/article/pii/S1463500320302456
27,https://www.sciencedirect.com/science/article/pii/S1463500320302249
27,https://www.sciencedirect.com/science/article/pii/S1463500320302316
27,https://www.sciencedirect.com/science/article/pii/S146350032030233X
27,https://www.sciencedirect.com/science/article/pii/S1463500320302353
27,https://www.sciencedirect.com/science/article/pii/S1463500320302328
27,https://www.sciencedirect.com/science/article/pii/S1463500320302341
28,https://www.sciencedirect.com/science/article/pii/S1463500320302286
28,https://www.sciencedirect.com/science/article/pii/S1463500320301980
28,https://www.sciencedirect.com/science/article/pii/S1463500320302122
28,https://www.sciencedirect.com/science/article/pii/S1463500320302146
