affiliation,citations
60000906,171.0
60000514,170.0
60017716,170.0
60029570,170.0
60003640,169.0
60103368,169.0
60092860,169.0
60026633,169.0
60025907,168.0
60031828,167.0
60002222,167.0
60121574,167.0
60000891,166.0
60025345,166.0
60028947,166.0
60016053,166.0
60016536,165.0
60082196,165.0
60018805,165.0
60029241,164.0
60023578,164.0
60081484,164.0
60023222,163.0
60030496,162.0
60014129,161.0
60033389,161.0
60005027,161.0
60071395,161.0
60020825,161.0
120242614,161.0
60021377,160.0
60003138,159.0
60020259,159.0
60019544,159.0
60010294,159.0
60023529,158.0
60033356,158.0
60022956,158.0
60029170,157.0
100418593,157.0
60103899,157.0
60026852,156.0
60000823,156.0
60104438,156.0
60025063,155.0
60133760,155.0
60189779,155.0
60023588,154.0
60025371,153.0
60001429,153.0
60010618,152.0
60002033,152.0
60004967,151.0
60029942,151.0
60008279,151.0
60028174,151.0
60000872,151.0
121816405,151.0
60103821,151.0
60015986,150.0
60027546,150.0
60017605,150.0
60011069,150.0
60021327,150.0
60023908,149.0
60068694,149.0
60000689,148.0
60022706,148.0
60050715,148.0
60007902,147.0
60022218,147.0
60017536,147.0
60002676,147.0
60102125,146.0
60006754,145.0
60003342,145.0
60014669,145.0
60027282,145.0
60024295,145.0
60029470,144.0
60032543,144.0
60007886,144.0
60008950,143.0
60010614,143.0
60138441,143.0
60049819,143.0
60023131,142.0
60021158,142.0
60024779,142.0
60015815,141.0
60274761,141.0
60075811,141.0
60012603,141.0
60106648,141.0
116499023,141.0
60027576,140.0
60025111,139.0
60175816,139.0
60017383,139.0
60020623,139.0
60073726,139.0
60086002,139.0
60180327,139.0
60006940,139.0
60024617,138.0
60027272,138.0
60022778,138.0
60013346,138.0
60000762,136.0
60021474,136.0
60003771,135.0
60017134,135.0
116732748,135.0
60015206,135.0
60025881,134.0
60000635,134.0
60025779,134.0
60088257,133.0
60018273,133.0
60007843,132.0
60025709,132.0
60078524,132.0
112928083,132.0
60028009,131.0
60002210,131.0
60020086,131.0
116390854,131.0
60007762,130.0
60073547,130.0
60003467,129.0
60212763,129.0
60012070,128.0
60005686,128.0
60001422,128.0
60123163,128.0
60103651,128.0
60012468,128.0
60113885,128.0
60016835,128.0
60026904,128.0
60074394,128.0
60013008,127.0
60005201,127.0
60000239,126.0
60007029,126.0
60078566,126.0
120877220,126.0
60030782,126.0
60006173,125.0
60104504,125.0
60008232,124.0
60134300,124.0
60020390,124.0
60028037,124.0
60024895,123.0
60087828,123.0
60018491,123.0
60019963,123.0
60025390,123.0
60102087,123.0
121946880,123.0
60022148,122.0
60005248,122.0
60002658,122.0
60008506,122.0
60069722,122.0
60022210,121.0
60021623,121.0
112934567,121.0
60016908,120.0
60008988,120.0
60015913,120.0
60024621,120.0
60023748,120.0
60108057,120.0
60015331,120.0
60111413,120.0
60019113,120.0
60028809,120.0
60002686,120.0
60019839,120.0
60073450,120.0
60019342,120.0
60024266,119.0
60017609,119.0
60007061,119.0
60024322,118.0
60011001,118.0
60028868,118.0
60022345,118.0
100326248,118.0
60007592,117.0
60028229,117.0
60024941,117.0
60016318,117.0
60102127,117.0
60018123,117.0
60013717,117.0
