id,eid,name,cited-by,citations
8917746300,9-s2.0-8917746300,Joel C. Rowland,1861,2183
7404182103,9-s2.0-7404182103,Chonggang Xu,5897,7321
6603012059,9-s2.0-6603012059,Donatella Pasqualini,370,425
57196049321,9-s2.0-57196049321,Carolyn Branecky Begeman,80,84
12760240500,9-s2.0-12760240500,Mark R. Petersen,1445,1892
57210574888,9-s2.0-57210574888,Jorge Sebastián Moraga,9,9
57201380752,9-s2.0-57201380752,Behnam Khorrami,79,115
9743239900,9-s2.0-9743239900,Orhan Gündüz,809,901
57216367349,9-s2.0-57216367349,Joy Rajbanshi,93,96
57223053470,9-s2.0-57223053470,Sharmistha Das,43,44
57218143285,9-s2.0-57218143285,Tianzheng Cao,47,47
15750626500,9-s2.0-15750626500,Dongmei Han,3142,3633
57240392300,9-s2.0-57240392300,Abolfazl Jalali Shahrood,22,22
57221112863,9-s2.0-57221112863,Sajad Rouzbeh,42,42
12753037900,9-s2.0-12753037900,Biswajeet K. Pradhan,17951,42841
54400192000,9-s2.0-54400192000,D. Tien Bui,9649,21886
57214763564,9-s2.0-57214763564,Chen Chen,227,242
36072263600,9-s2.0-36072263600,Xiaodong Zhang,1155,1272
56383968700,9-s2.0-56383968700,Shuguang Wang,4000,4335
57237431400,9-s2.0-36723027900,Huayong Zhang,4720,5253
57240937700,9-s2.0-57240937700,Mushfiqur Rahman Khan,5,5
15059675500,9-s2.0-15059675500,Daniel J. Wasielewski,33,35
8277424200,9-s2.0-8277424200,Pierre Alain Ayral,881,969
14019401300,9-s2.0-14019401300,John W. Fulton,347,446
57195138710,9-s2.0-57195138710,Wen Yang,212,303
57211254853,9-s2.0-57211254853,Ting Qu,72,73
57210915723,9-s2.0-57210915723,Xin Zhang,99,109
57240826100,9-s2.0-57240826100,Sigmund Gabriel,8,8
57240684300,9-s2.0-57240684300,Han Qiao,1,1
8641306700,9-s2.0-8641306700,Pedro Martínez-Santos,1328,1641
56003026800,9-s2.0-56003026800,Silvia Díaz-Alcaide,181,198
26025583400,9-s2.0-26025583400,África De La Hera Portillo,286,306
57221905863,9-s2.0-57221905863,Víctor Gómez-Escalonilla,33,38
57206669518,9-s2.0-57206669518,Rasmus Jes Petersen,172,194
57200765709,9-s2.0-57200765709,Kaj Pettersson,43,43
55874080100,9-s2.0-55874080100,Dario Maggiolo,162,193
9234069800,9-s2.0-9234069800,Srdjan M. Sasic,1064,1297
14062282000,9-s2.0-14062282000,Pär Johansson,536,616
58032592900,9-s2.0-58032592900,Angela Sasic Kalagasidis,1422,1779
57215019857,9-s2.0-57215019857,Atul Kumar Rai,41,41
57240759800,9-s2.0-57240759800,Zafar Beg,23,23
57209749425,9-s2.0-57209749425,Abhilash Singh,204,326
58071515000,9-s2.0-58071515000,Kumar Gaurav,261,313
7003494578,9-s2.0-7003494578,Costanza Di Stefano,1161,2071
19933968600,9-s2.0-19933968600,V. Pampalone,669,1341
57192076904,9-s2.0-57192076904,Vincenzo Palmeri,238,565
56461011400,9-s2.0-56461011400,Samuale Tesfaye,105,111
55773905300,9-s2.0-55773905300,Gebeyehu Taye,297,349
36522156300,9-s2.0-36522156300,Emiru Birhane,1103,1272
7004375739,9-s2.0-7004375739,Takahirocc Sayama,1084,1336
56844549700,9-s2.0-56844549700,Manuel C. Almeida,40,41
56305561000,9-s2.0-56305561000,Sandra Pombo,96,99
57240828000,9-s2.0-57240828000,Ricardo M. Rebelo,3,3
57208848121,9-s2.0-57208848121,Pedro Santos Coelho,309,326
57241083300,9-s2.0-57241083300,Rossella Belloni,6,6
36336837000,9-s2.0-36336837000,Stefania Camici,1115,1317
57192513642,9-s2.0-57192513642,Xiaofeng Zhang,395,468
7403743295,9-s2.0-7403743295,Quanxi Xu,538,774
54896489100,9-s2.0-54896489100,Mohammad Najafzadeh,1262,2745
57243585400,9-s2.0-57243585400,Diako Afroozi,20,20
43261607600,9-s2.0-43261607600,Ali S. Mirchi,2009,2474
57223248319,9-s2.0-57223248319,Hefei Huang,24,24
55681862500,9-s2.0-55681862500,Quansheng Ge,6485,8548
57200794380,9-s2.0-57200794380,R. B. Mudashiru,53,53
36605795200,9-s2.0-36605795200,Waheed Oyelola Balogun,43,43
57208922949,9-s2.0-57208922949,Shuaihong Zang,21,21
12773290000,9-s2.0-12773290000,Zhijia Li,1627,2276
55714878600,9-s2.0-55714878600,Zhiyu Liu,1025,1234
56801281700,9-s2.0-56801281700,Qi Tang,153,193
57131609600,9-s2.0-57131609600,Xiaolong Chen,2498,2944
