,journal_id,volume_id,year,link,doi,date,pii,eid,scopus_id,citations,authors,affiliations,open_access
2303,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000549,10.1016/j.jhydrol.2023.129112,2023-02-01,S0022169423000549,2-s2.0-85146259948,85146259948.0,0.0,"55659438100, 7103237168, 35435507500, 57923692800",60012704:60020547:60000872:60012704,True
2305,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000562,10.1016/j.jhydrol.2023.129114,2023-02-01,S0022169423000562,2-s2.0-85146434964,85146434964.0,0.0,"55628974500, 57202574024, 57205197460, 7201532106",60006541:60006541:60006541:60019702,True
2307,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000264,10.1016/j.jhydrol.2023.129084,2023-02-01,S0022169423000264,2-s2.0-85146437689,85146437689.0,1.0,"57203865669, 15729219800, 57339104600, 56885806600, 6603476391","60006019, 60006019:60006019:60006019:60006019:60000765",True
2309,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000318,10.1016/j.jhydrol.2023.129089,2023-02-01,S0022169423000318,2-s2.0-85146427933,85146427933.0,0.0,"57226864886, 57207799003, 57306482200, 57226855322, 8238620300","60001298, 60001298:60001298, 60001298:60001298, 60001298:60001298, 60001298:60001298, 60001298",True
2311,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000677,10.1016/j.jhydrol.2023.129125,2023-02-01,S0022169423000677,2-s2.0-85146734593,85146734593.0,1.0,"57525285100, 6603256951, 23102247400, 25226581600, 57192202978, 57994113100, 55112745700, 55580803000, 55456557900","60009043:60009043, 60003892:60009043, 127195927:60003892:60003892:60003892:113385257, 123134193:113385257, 121177016:60003892",True
2312,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000057,10.1016/j.jhydrol.2023.129063,2023-02-01,S0022169423000057,2-s2.0-85146647447,85146647447.0,0.0,"57852637500, 36189495000, 55696059900, 57194773272, 57203239477","60013551:60007155, 60007155:60023237:60013551:60013551",True
2313,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000689,10.1016/j.jhydrol.2023.129126,2023-02-01,S0022169423000689,2-s2.0-85146421297,85146421297.0,0.0,"57217150314, 55680660600, 58069297800, 26028888300","60029306:60029306, 60029306, 127069870:60029306, 60029306, 127069870:60029306",True
2314,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000409,10.1016/j.jhydrol.2023.129098,2023-02-01,S0022169423000409,2-s2.0-85149802057,85149802057.0,0.0,"57209827473, 57209506274, 58136833200, 57216865679, 57194593342, 35278945900","125155814, 124084639, 60006782:125155814, 124084639, 60006782:125155814, 124084639, 60006782:125155814, 124084639, 60006782:125155814, 124084639, 60006782:125155814, 124084639, 60006782",True
2317,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000653,10.1016/j.jhydrol.2023.129123,2023-02-01,S0022169423000653,2-s2.0-85147007728,85147007728.0,0.0,"21742081100, 7401856520, 7201563100",60023748:60023748:60023748,True
2318,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000707,10.1016/j.jhydrol.2023.129128,2023-02-01,S0022169423000707,2-s2.0-85146727395,85146727395.0,2.0,"57197728205, 55373025000, 56443365000","60064143, 60064143:60064143, 60064143:60064143, 60064143",True
2319,6,9,2023,https://www.sciencedirect.com/science/article/pii/S002216942300063X,10.1016/j.jhydrol.2023.129121,2023-02-01,S002216942300063X,2-s2.0-85147195545,85147195545.0,3.0,"57211374041, 33667840200",60009507:60009507,True
2323,6,9,2023,https://www.sciencedirect.com/science/article/pii/S0022169423000495,10.1016/j.jhydrol.2023.129107,2023-02-01,S0022169423000495,2-s2.0-85149736051,85149736051.0,0.0,"56035218900, 57221673518, 55498611300","60103917, 60071276:60014153:60014153",True
